Countryofbirth,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Uzbekistan,340,380,420,460,490,530,570,610,680,760,930,1010,1100,1230,1300,1380,1500,1620,1720,1840,1950,2030,2090,2170,2240
Bermuda,380,400,400,400,410,420,440,450,460,460,470,470,480,500,520,520,550,560,570,580,580,580,590,580,590
Canada,27970,28680,29280,29630,30240,31020,32260,33660,34850,36250,38220,39860,41820,43200,44530,46230,48550,50140,51360,52590,53750,54560,54960,55740,56410
St Pierre/Mique,20,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,56050,57630,58400,58850,59690,60780,62890,65350,67510,70520,74670,78930,80730,82200,85330,90090,96710,100810,102690,104650,105750,108080,108400,108600,110160
Argentina,12140,12130,12080,12070,12020,12030,12110,12300,12660,13090,13480,13510,13570,13570,13730,13800,14060,14590,15070,15510,16020,16590,17300,18930,21270
Bolivia,620,630,640,670,700,700,720,740,760,770,780,800,830,840,860,900,960,1020,1050,1050,1080,1100,1110,1150,1190
Brazil,3690,3870,4090,4420,4750,5120,5580,6160,6710,7530,8500,10930,13790,15690,16550,17060,18600,20330,24150,26790,32900,40380,46570,51050,52910
Chile,26850,26580,26440,26290,26080,25920,26110,26370,26590,26870,27190,27500,27770,28100,28280,28520,29050,29410,29690,30180,31040,31860,32770,33910,34940
Colombia,2870,3150,3350,3650,4000,4510,4780,5130,5420,5810,6230,7570,9320,11220,12410,13030,14620,16440,17960,19810,22680,26350,29970,34900,39540
Ecuador,1380,1420,1440,1450,1460,1460,1490,1540,1580,1650,1740,1760,1810,1860,1940,2000,2110,2300,2700,2810,2710,2730,2750,2810,2950
Falkland Is,120,130,130,130,130,130,130,120,120,120,120,130,130,130,130,130,130,120,120,120,120,110,100,100,100
French Guiana,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20
Guyana,520,540,520,510,520,530,530,540,560,560,570,580,590,600,600,610,630,640,650,660,670,660,650,650,650
